AIRCRAFT ORIGIN ARRIVAL AIRLINE
ECMKV VLG 00:04 LYBE
ECJGM VLG 00:05 EGCC
ECLOB VLG 01:24 LMML
ECLVC VLG 02:28 LGTS
DALEC BCS 03:14 EBBR
N327UP UPS 03:17 EDDK
ECMKN VLG 03:36 LGSR
DALEN BCS 03:38 EDDP
ECMKT VLG 03:44 LGAV
N920FD FDX 03:59 LFPG
OEIBZ TAY 04:16 EBLG
EIDPG RYR 04:57 LEPA
ECLTG LAV 05:05 LEPA
N761AJ AAL 05:06 KJFK
EIFJP IBK 05:09 LEPA
ECKRH VLG 05:12 LROP
ECLVV VLG 05:38 LEPA
ECLYB AEA 05:43 LEMH
ECLXV AEA 05:47 LEPA
PHXRD TRA 05:49 EHAM
ECMAI VLG 05:50 BIKF
GRAJG JAF 05:57 EBOS
GEZWE EZY 05:59 LIMC
EIFOG RYR 06:00 LEZL
DAIQE GWI 06:09 EDDS
OOJEM JAF 06:13 EBAW
ECLZZ VLG 06:15 URKK
HALXH WZZ 06:18 LHBP
GEZAT EZY 06:20 LFLL
ECMBS VLG 06:21 LEZL
ECJYX VLG 06:23 LECO
DAEBP DLH 06:24 EDDM
OOSSW BEL 06:26 EBBR
VQBTN ABG 06:28 UUEE
OHLZD FIN 06:30 EFHK
DABZA BER 06:33 EDDL
N823NW DAL 06:37 KATL
ECMAH VLG 06:41 LIRF
EIENM RYR 06:42 EDDB
ECMBT VLG 06:44 LEAS
ECJQZ IBE 06:45 LEMD
HBIOK SWR 06:47 LSZH
ECMEA VLG 06:48 ULLI
ECLZN VLG 06:50 LGMK
ECMLM VLG 06:51 LFPO
DAGWT GWI 06:53 EDDV
ECJQQ AEA 06:55 LEMD
PHHSK TRA 06:57 EHEH
ECMGE VLG 06:58 UUDD
DAIPZ GWI 06:59 EDDL
GEUUC BAW 07:01 EGLL
ECMEQ VLG 07:03 OLBA
EIEKL RYR 07:05 LPPR
ECLUL IBE 07:07 LEMD
OELBR AUA 07:08 LOWW
N76054 UAL 07:10 KEWR
EIFIY RYR 07:13 LEIB
ECMFM VLG 07:14 LEZL
9VSWD SIA 07:16 SBGR
FGTAZ AFR 07:19 LFPG
OYKBP SAS 07:22 EKCH
ECMHA VLG 07:23 LEPA
DAGWI GWI 07:25 EDDK
ECLLJ VLG 07:26 LEIB
ECMKV VLG 07:28 LESO
DAIDL DLH 07:28 EDDF
ECJTR VLG 07:30 EHAM
EIFRF RYR 07:32 EIDW
GZBAI MON 07:34 EGKK
TCJNZ THY 07:36 LTBA
GEZDU EZY 07:38 EDDB
B5913 CCA 07:39 LOWW
OELED NLY 07:41 LOWW
GZBAH MON 07:43 EGBB
ECMHS VLG 07:44 LPPT
ECLML VLG 07:46 LEIB
EIDAM RYR 07:48 LIME
GEZTG EZY 07:50 EGGD
CSTTO TAP 07:52 LPPT
GEZUM EZY 07:53 LSGG
EIDEJ EIN 07:55 EIDW
ECMLE VLG 07:57 LFRS
CGHLQ ROU 08:01 CYUL
ECLZF VLG 08:05 LEMH
CSDXZ NJE 08:07 LFST
GEZPC EZY 08:08 EGGP
PHBXF KLM 08:11 EHAM
EIEBK RYR 08:15 EGCC
ECLVC VLG 08:16 LEGR
EIDPM RYR 08:18 EGPH
ECMBK VLG 08:19 UWKD
ECLUN VLG 08:21 DAAG
GEZBD EZY 08:26 EGAA
ECLRY VLG 08:27 LEMD
EIEFW RYR 08:29 LEST
EIDHP RYR 08:31 EGBB
ECLOB VLG 08:33 LFMN
EIDWK RYR 08:38 EBBR
YRBGI ROT 08:40 LROP
EIENO RYR 08:41 LFOB
YRBAP BMS 08:43 LROP
ECLUT AEA 08:45 LLBG
GEUUO BAW 08:46 EGLL
N790AN AAL 08:48 KMIA
GEZWN EZY 08:50 EGKK
SXDGQ AEE 08:51 LGAV
ECMMU VLG 08:53 GCLP
LNRNO SAS 08:55 ENGM
ECHUH IBE 08:57 LEMD
IBIXR AZA 09:00 LIRF
ECKMI VLG 09:02 LEZL
GOZBE MON 09:03 EGCC
SPLND LOT 09:04 EPWA
EIDAE RYR 09:05 LIRF
N290AY AAL 09:07 KPHL
VQBHK AFL 09:10 UUEE
ECKLT VLG 09:11 LEMD
ECMMH VLG 09:13 GCXO
ECMHB VLG 09:14 LFPO
ECLXV AEA 09:15 LEPA
VPBWG SDM 09:17 ULLI
ECMBY VLG 09:18 LDZA
DAIDF DLH 09:20 EDDM
EIDCJ RYR 09:22 EGSS
ECMKN VLG 09:24 LSGG
ECJTQ VLG 09:25 LEVX
LNNGP NAX 09:26 ENGM
ECMIQ VLG 09:28 LIRQ
GEZBI EZY 09:30 EGGW
ECMGZ VLG 09:31 LIPZ
ECLQM VLG 09:34 EBBR
GCELG EXS 09:35 EGCC
GEZTA EZY 09:36 LFSB
DAISG DLH 09:38 EDDF
N900JG ZZZ 09:40 LLBG
LNDYW NAX 09:41 EKCH
GEZAT EZY 09:43 LFBD
EIDHX RYR 09:44 LIPE
CFIYE ROU 09:47 CYYZ
ECMJC VLG 09:50 LDSP
ECKRH VLG 09:52 LEMH
HBJYI EZS 09:54 LSGG
ECLQK VLG 09:56 LLBG
ECMBE VLG 09:57 LSZH
CNRGG RAM 09:59 GMMN
ECMJR VLG 10:01 EGGW
TSIMV TAR 10:03 DTTA
ECLQL VLG 10:04 EDDM
FF333 FAF 10:07 LFCK
